pokemon_item,set,ungraded,grade_nine,grade_ten,date(D/M/Y)
Wormadam [Reverse Holo] #49,pokemon-arceus,1.98,N/A,N/A,06/07/2024
Wormadam #50,pokemon-arceus,2.06,N/A,N/A,06/07/2024
Wormadam [Reverse Holo] #50,pokemon-arceus,1.62,N/A,N/A,06/07/2024
Wormadam #51,pokemon-arceus,1.59,N/A,N/A,06/07/2024
Wormadam [Reverse Holo] #51,pokemon-arceus,1.99,N/A,N/A,06/07/2024
Bagon [Reverse Holo] #52,pokemon-arceus,3.09,12.83,N/A,06/07/2024
Bronzor #54,pokemon-arceus,1.14,N/A,N/A,06/07/2024
Buneary [Reverse Holo] #55,pokemon-arceus,2.12,N/A,N/A,06/07/2024
Burmy #56,pokemon-arceus,1.29,N/A,N/A,06/07/2024
Burmy #57,pokemon-arceus,1.28,16.82,45.78,06/07/2024
Burmy #58,pokemon-arceus,1.35,N/A,N/A,06/07/2024
Cherubi [Reverse Holo] #60,pokemon-arceus,3.50,14.06,N/A,06/07/2024
Croagunk #61,pokemon-arceus,1.14,N/A,N/A,06/07/2024
Croagunk [Reverse Holo] #61,pokemon-arceus,4.59,N/A,N/A,06/07/2024
Electrike [Reverse Holo] #62,pokemon-arceus,0.96,N/A,N/A,06/07/2024
Electrike #63,pokemon-arceus,1.42,N/A,N/A,06/07/2024
Geodude #65,pokemon-arceus,1.48,N/A,N/A,06/07/2024
Gulpin [Reverse Holo] #66,pokemon-arceus,1.66,12.84,N/A,06/07/2024
Makuhita [Reverse Holo] #68,pokemon-arceus,1.92,N/A,N/A,06/07/2024
Nosepass [Reverse Holo] #69,pokemon-arceus,0.92,12.22,N/A,06/07/2024
Omanyte [Reverse Holo] #70,pokemon-arceus,2.34,N/A,N/A,06/07/2024
Rattata #73,pokemon-arceus,1.49,N/A,N/A,06/07/2024
Rattata [Reverse Holo] #73,pokemon-arceus,0.88,N/A,N/A,06/07/2024
Shinx [Reverse Holo] #74,pokemon-arceus,2.34,19.77,N/A,06/07/2024
Snorunt [Reverse Holo] #75,pokemon-arceus,2.00,N/A,N/A,06/07/2024
Tangela [Reverse Holo] #76,pokemon-arceus,1.39,N/A,N/A,06/07/2024
Tangela #77,pokemon-arceus,1.49,N/A,N/A,06/07/2024
Tangela [Reverse Holo] #77,pokemon-arceus,4.19,N/A,N/A,06/07/2024
Wingull #80,pokemon-arceus,0.99,N/A,N/A,06/07/2024
Wingull #81,pokemon-arceus,0.99,N/A,N/A,06/07/2024
Beginning Door [Reverse Holo] #82,pokemon-arceus,4.99,N/A,N/A,06/07/2024
Bench Shield #83,pokemon-arceus,1.77,N/A,N/A,06/07/2024
Bench Shield [Reverse Holo] #83,pokemon-arceus,2.49,N/A,N/A,06/07/2024
Buffer Piece #84,pokemon-arceus,1.85,19.86,52.84,06/07/2024
Energy Restore #86,pokemon-arceus,1.17,N/A,N/A,06/07/2024
Energy Restore [Reverse Holo] #86,pokemon-arceus,0.75,12.35,N/A,06/07/2024
Lucky Egg [Reverse Holo] #88,pokemon-arceus,2.64,N/A,N/A,06/07/2024
Old Amber #89,pokemon-arceus,1.79,N/A,N/A,06/07/2024
Swalot [Reverse Holo] #9,pokemon-arceus,1.99,N/A,N/A,06/07/2024
Ultimate Zone #91,pokemon-arceus,1.67,N/A,N/A,06/07/2024
Ultimate Zone [Reverse Holo] #91,pokemon-arceus,0.50,12.35,N/A,06/07/2024
Dome Fossil [Reverse Holo] #92,pokemon-arceus,1.99,N/A,N/A,06/07/2024
Helix Fossil #93,pokemon-arceus,1.52,N/A,N/A,06/07/2024
Helix Fossil [Reverse Holo] #93,pokemon-arceus,1.75,N/A,N/A,06/07/2024
Lugia #149,pokemon-aquapolis,538.07,900.65,465.49,06/07/2024
Umbreon #H29,pokemon-aquapolis,234.90,791.51,668.69,06/07/2024
Nidoking #150,pokemon-aquapolis,219.25,751.75,200.00,06/07/2024
Tyranitar #H28,pokemon-aquapolis,188.21,555.24,826.84,06/07/2024
Houndoom #H11,pokemon-aquapolis,151.95,594.12,052.50,06/07/2024
Espeon #H9,pokemon-aquapolis,143.88,362.59,024.36,06/07/2024
Kingdra #148,pokemon-aquapolis,134.56,513.66,341.04,06/07/2024
Suicune #H25,pokemon-aquapolis,68.91,264.94,258.85,06/07/2024
Umbreon #41,pokemon-aquapolis,40.75,77.35,211.25,06/07/2024
Arcanine #H2,pokemon-aquapolis,120.00,336.98,081.59,06/07/2024
Entei #H8,pokemon-aquapolis,84.27,198.33,750.00,06/07/2024
Kingdra #19,pokemon-aquapolis,2.66,33.44,59.50,06/07/2024
Ampharos #1,pokemon-aquapolis,8.90,41.24,56.50,06/07/2024
Houndoom [Reverse Holo] #15,pokemon-aquapolis,29.00,76.96,373.01,06/07/2024
Zapdos #H32,pokemon-aquapolis,93.19,261.61,869.82,06/07/2024
Suicune #37,pokemon-aquapolis,11.43,36.10,132.37,06/07/2024
Scizor #32,pokemon-aquapolis,11.91,36.53,85.00,06/07/2024
Hitmonchan #81,pokemon-aquapolis,3.58,29.99,45.17,06/07/2024
Scizor #H21,pokemon-aquapolis,61.47,151.84,594.42,06/07/2024
Hypno #H12,pokemon-aquapolis,45.99,151.07,467.07,06/07/2024
Entei [Reverse Holo] #10,pokemon-aquapolis,26.58,58.32,246.25,06/07/2024
Umbreon [Reverse Holo] #41,pokemon-aquapolis,92.66,225.00,719.37,06/07/2024
Steelix #H23,pokemon-aquapolis,63.89,200.77,562.52,06/07/2024
Tentacruel #H26,pokemon-aquapolis,37.25,124.99,531.69,06/07/2024
Zapdos #44,pokemon-aquapolis,10.82,42.17,93.25,06/07/2024
Togetic #H27,pokemon-aquapolis,50.01,178.55,713.24,06/07/2024
Houndoom #14,pokemon-aquapolis,15.22,39.25,51.00,06/07/2024
Togetic #39,pokemon-aquapolis,6.82,21.00,41.00,06/07/2024
Ariados #H3,pokemon-aquapolis,40.00,87.79,250.91,06/07/2024
Hypno #16,pokemon-aquapolis,10.50,25.93,55.00,06/07/2024
Muk #H17,pokemon-aquapolis,59.61,127.09,599.18,06/07/2024
Blissey #6,pokemon-aquapolis,4.50,28.00,66.99,06/07/2024
Slowking #H22,pokemon-aquapolis,81.31,189.23,820.00,06/07/2024
Ninetales #H19,pokemon-aquapolis,60.00,156.49,553.99,06/07/2024
Entei #10,pokemon-aquapolis,11.75,32.83,98.25,06/07/2024
Togepi #114,pokemon-aquapolis,3.91,33.95,57.55,06/07/2024
Cubone #72,pokemon-aquapolis,2.74,33.08,91.62,06/07/2024
Horsea #84,pokemon-aquapolis,2.00,19.78,46.07,06/07/2024
Booster Pack,pokemon-aquapolis,581.00,721.74,132.40,06/07/2024
Onix #98,pokemon-aquapolis,2.69,40.50,59.57,06/07/2024
Ampharos #H1,pokemon-aquapolis,41.00,166.76,611.30,06/07/2024
Magneton #22,pokemon-aquapolis,6.37,20.64,47.50,06/07/2024
Eevee [Reverse Holo] #75,pokemon-aquapolis,31.78,140.00,879.29,06/07/2024
Hypno [Reverse Holo] #16,pokemon-aquapolis,12.49,45.00,114.24,06/07/2024
Growlithe #80,pokemon-aquapolis,4.32,33.46,42.73,06/07/2024
Espeon #11,pokemon-aquapolis,30.48,38.00,154.10,06/07/2024
Ninetales #25,pokemon-aquapolis,6.81,39.60,50.99,06/07/2024
Octillery #26,pokemon-aquapolis,5.32,80.00,96.00,06/07/2024
Slowking #34,pokemon-aquapolis,10.89,38.38,54.09,06/07/2024
Tyranitar #40,pokemon-aquapolis,22.32,56.46,131.18,06/07/2024
Kingdra #H14,pokemon-aquapolis,40.57,163.63,630.15,06/07/2024
Nidoking #H18,pokemon-aquapolis,53.90,145.77,387.69,06/07/2024
Slowbro #33,pokemon-aquapolis,12.99,32.75,103.84,06/07/2024
Lanturn #H15,pokemon-aquapolis,38.97,78.98,314.87,06/07/2024
Smeargle #109,pokemon-aquapolis,3.33,10.32,35.50,06/07/2024
Drowzee #74,pokemon-aquapolis,5.78,N/A,N/A,06/07/2024
Victreebel #H30,pokemon-aquapolis,34.00,72.70,375.00,06/07/2024
Porygon2 #28,pokemon-aquapolis,4.95,23.52,50.01,06/07/2024
Scizor [Reverse Holo] #32,pokemon-aquapolis,27.85,63.86,199.99,06/07/2024
Houndour #86,pokemon-aquapolis,2.15,18.07,56.41,06/07/2024
Psyduck #104,pokemon-aquapolis,19.00,56.53,199.95,06/07/2024
Slowpoke #108,pokemon-aquapolis,3.35,21.34,70.00,06/07/2024
Tentacool #113,pokemon-aquapolis,2.17,19.77,48.51,06/07/2024
Houndoom [Reverse Holo] #14,pokemon-aquapolis,25.55,68.52,249.43,06/07/2024
Jynx #18,pokemon-aquapolis,8.17,13.63,43.00,06/07/2024
Muk #23,pokemon-aquapolis,6.98,56.00,72.50,06/07/2024
Steelix [Reverse Holo] #35,pokemon-aquapolis,22.99,43.00,205.25,06/07/2024
Nidoran #96,pokemon-aquapolis,2.47,33.39,44.82,06/07/2024
Sneasel #110,pokemon-aquapolis,3.06,35.44,58.45,06/07/2024
Houndoom #15,pokemon-aquapolis,17.59,37.00,97.77,06/07/2024
Sudowoodo #H24,pokemon-aquapolis,64.25,120.39,097.50,06/07/2024
Arcanine [Reverse Holo] #2,pokemon-aquapolis,33.75,56.77,399.99,06/07/2024
Seadra #58,pokemon-aquapolis,2.94,23.21,58.32,06/07/2024
Arcanine #2,pokemon-aquapolis,18.99,38.29,99.75,06/07/2024
Muk [Reverse Holo] #23,pokemon-aquapolis,16.15,32.45,199.99,06/07/2024
Nidoking #24,pokemon-aquapolis,4.21,35.08,44.22,06/07/2024
Larvitar #89,pokemon-aquapolis,4.48,46.76,93.38,06/07/2024
Ampharos [Reverse Holo] #1,pokemon-aquapolis,12.50,32.69,120.35,06/07/2024
Vulpix #116,pokemon-aquapolis,2.51,21.12,59.99,06/07/2024
Marowak #54,pokemon-aquapolis,3.79,13.30,47.55,06/07/2024
Houndour #87,pokemon-aquapolis,3.16,17.55,24.75,06/07/2024
Exeggutor #12,pokemon-aquapolis,4.22,40.00,48.00,06/07/2024
Exeggutor #13,pokemon-aquapolis,6.01,27.10,29.00,06/07/2024
Tyranitar [Reverse Holo] #40,pokemon-aquapolis,69.49,120.50,360.00,06/07/2024
Miltank #94,pokemon-aquapolis,2.63,10.50,93.09,06/07/2024
Forest Guardian #123,pokemon-aquapolis,1.72,18.00,38.02,06/07/2024
Togetic [Reverse Holo] #39,pokemon-aquapolis,16.02,40.00,157.50,06/07/2024
Zapdos [Reverse Holo] #44,pokemon-aquapolis,28.00,96.47,535.39,06/07/2024
Porygon #103a,pokemon-aquapolis,2.98,31.53,60.00,06/07/2024
Spinarak #111,pokemon-aquapolis,1.94,22.99,29.99,06/07/2024
Rainbow Energy #144,pokemon-aquapolis,9.16,25.27,69.04,06/07/2024
Jumpluff #17,pokemon-aquapolis,3.99,17.30,26.00,06/07/2024
Vileplume #H31,pokemon-aquapolis,48.42,136.00,899.99,06/07/2024
Scyther [Reverse Holo] #106,pokemon-aquapolis,21.00,59.99,400.00,06/07/2024
Town Volunteers #136,pokemon-aquapolis,3.15,26.24,66.06,06/07/2024
Steelix #35,pokemon-aquapolis,10.50,23.25,87.09,06/07/2024
Vileplume #43,pokemon-aquapolis,6.34,27.00,45.91,06/07/2024
Octillery #H20,pokemon-aquapolis,40.61,82.00,641.39,06/07/2024
Blissey #H6,pokemon-aquapolis,39.12,124.52,407.63,06/07/2024
Kingdra [Reverse Holo] #19,pokemon-aquapolis,12.16,44.00,259.99,06/07/2024
Suicune [Reverse Holo] #37,pokemon-aquapolis,32.04,63.70,550.00,06/07/2024
Tentacruel #38,pokemon-aquapolis,6.64,19.12,43.01,06/07/2024
Exeggutor #H10,pokemon-aquapolis,61.17,153.00,743.39,06/07/2024
Bellossom #H5,pokemon-aquapolis,39.19,105.90,453.08,06/07/2024
Lanturn #21,pokemon-aquapolis,8.51,19.23,235.91,06/07/2024
Jumpluff #H13,pokemon-aquapolis,31.63,72.56,335.00,06/07/2024
Azumarill #H4,pokemon-aquapolis,30.46,105.97,328.20,06/07/2024
Booster Box,pokemon-aquapolis,150.00,N/A,N/A,06/07/2024
Chansey #69,pokemon-aquapolis,2.37,19.45,44.40,06/07/2024
Wooper #117,pokemon-aquapolis,6.77,43.72,80.60,06/07/2024
Pokemon Fan Club #130,pokemon-aquapolis,4.11,14.50,56.50,06/07/2024
Nidoking [Reverse Holo] #24,pokemon-aquapolis,19.67,46.00,348.96,06/07/2024
Cubone [Reverse Holo] #72,pokemon-aquapolis,19.99,47.00,399.99,06/07/2024
Hitmonchan [Reverse Holo] #81,pokemon-aquapolis,12.00,38.50,350.74,06/07/2024
Magneton #H16,pokemon-aquapolis,44.10,93.00,285.31,06/07/2024
Ninetales [Reverse Holo] #25,pokemon-aquapolis,21.38,80.00,250.50,06/07/2024
Nidorino #55,pokemon-aquapolis,3.67,19.00,32.00,06/07/2024
Psyduck [Reverse Holo] #104,pokemon-aquapolis,40.53,187.50,112.88,06/07/2024
Scyther #106,pokemon-aquapolis,5.00,31.38,69.20,06/07/2024
Boost Energy #145,pokemon-aquapolis,4.00,9.26,54.88,06/07/2024
Azumarill #4,pokemon-aquapolis,8.01,64.00,77.00,06/07/2024
Electrode #H7,pokemon-aquapolis,39.74,133.69,384.00,06/07/2024
Magneton [Reverse Holo] #22,pokemon-aquapolis,11.33,46.00,92.50,06/07/2024
Eevee #75,pokemon-aquapolis,7.23,25.27,99.00,06/07/2024
Exeggcute #76,pokemon-aquapolis,1.50,17.02,29.69,06/07/2024
Vileplume [Reverse Holo] #43,pokemon-aquapolis,12.79,45.68,129.99,06/07/2024
Kangaskhan #88,pokemon-aquapolis,3.08,18.20,50.00,06/07/2024
Mr. Mime #95,pokemon-aquapolis,1.99,27.00,N/A,06/07/2024
Mr. Mime [Reverse Holo] #95,pokemon-aquapolis,7.99,27.00,N/A,06/07/2024
Espeon [Reverse Holo] #11,pokemon-aquapolis,58.53,98.00,650.00,06/07/2024
Primeape [Reverse Holo] #29,pokemon-aquapolis,17.49,39.00,187.23,06/07/2024
Scyther #57,pokemon-aquapolis,6.36,44.75,109.99,06/07/2024
Grimer #79,pokemon-aquapolis,3.00,28.48,47.11,06/07/2024
Hitmontop #82,pokemon-aquapolis,2.87,34.00,41.00,06/07/2024
Porygon [Reverse Holo] #103a,pokemon-aquapolis,6.59,48.39,156.25,06/07/2024
Exeggutor [Reverse Holo] #13,pokemon-aquapolis,11.50,40.00,98.82,06/07/2024
Sudowoodo #36,pokemon-aquapolis,12.00,48.00,63.00,06/07/2024
Victreebel #42,pokemon-aquapolis,6.02,18.24,32.95,06/07/2024
Magnemite #91,pokemon-aquapolis,3.74,20.00,41.79,06/07/2024
Rapidash #31,pokemon-aquapolis,8.00,19.95,48.00,06/07/2024
Warp Energy #147,pokemon-aquapolis,4.98,59.95,72.00,06/07/2024
Ariados #3,pokemon-aquapolis,4.94,35.00,66.16,06/07/2024
Quagsire #30,pokemon-aquapolis,9.00,40.00,53.56,06/07/2024
Azumarill [Reverse Holo] #4,pokemon-aquapolis,9.87,37.50,130.50,06/07/2024
Growlithe #51,pokemon-aquapolis,8.98,31.73,46.00,06/07/2024
Electrode #8,pokemon-aquapolis,6.00,20.00,59.20,06/07/2024
Sentret #107,pokemon-aquapolis,3.17,37.30,38.37,06/07/2024
Parasect #27,pokemon-aquapolis,5.08,10.52,23.49,06/07/2024
Slowbro [Reverse Holo] #33,pokemon-aquapolis,21.64,51.13,143.86,06/07/2024
Golduck #50b,pokemon-aquapolis,5.25,34.99,42.00,06/07/2024
Mareep #93,pokemon-aquapolis,2.52,24.97,30.00,06/07/2024
Togepi [Reverse Holo] #114,pokemon-aquapolis,16.17,58.89,461.71,06/07/2024
Sudowoodo [Reverse Holo] #36,pokemon-aquapolis,15.69,48.99,424.21,06/07/2024
Scyther [Reverse Holo] #57,pokemon-aquapolis,38.62,99.99,235.00,06/07/2024
Voltorb #64,pokemon-aquapolis,3.52,32.99,34.33,06/07/2024
Metal Energy #143,pokemon-aquapolis,3.99,24.77,31.43,06/07/2024
Rapidash [Reverse Holo] #31,pokemon-aquapolis,7.81,35.09,157.08,06/07/2024
Golduck #50a,pokemon-aquapolis,3.49,35.99,99.95,06/07/2024
Tyrogue #63,pokemon-aquapolis,5.39,9.01,32.00,06/07/2024
Donphan [Reverse Holo] #7,pokemon-aquapolis,11.42,41.00,123.10,06/07/2024
Houndour [Reverse Holo] #86,pokemon-aquapolis,8.23,45.00,162.50,06/07/2024
Ponyta #102,pokemon-aquapolis,2.28,15.75,45.33,06/07/2024
Crystal Energy #146,pokemon-aquapolis,3.50,33.90,123.55,06/07/2024
Bellossom #5,pokemon-aquapolis,5.78,17.10,53.67,06/07/2024
Growlithe [Reverse Holo] #80,pokemon-aquapolis,15.89,34.25,399.99,06/07/2024
Slowpoke [Reverse Holo] #108,pokemon-aquapolis,17.00,45.00,321.90,06/07/2024
Smeargle [Reverse Holo] #109,pokemon-aquapolis,8.50,39.99,71.00,06/07/2024
Tangela #112,pokemon-aquapolis,2.25,19.22,34.99,06/07/2024
Primeape #29,pokemon-aquapolis,12.65,31.00,37.00,06/07/2024
Tentacruel [Reverse Holo] #38,pokemon-aquapolis,10.00,43.00,150.50,06/07/2024
Bellsprout #45,pokemon-aquapolis,5.89,19.04,79.94,06/07/2024
Blissey [Reverse Holo] #6,pokemon-aquapolis,9.99,36.83,189.80,06/07/2024
Elekid #9,pokemon-aquapolis,8.70,20.00,28.00,06/07/2024
Juggler #126,pokemon-aquapolis,2.00,14.00,36.00,06/07/2024
Darkness Energy #142,pokemon-aquapolis,3.26,42.55,51.00,06/07/2024
Flaaffy #47,pokemon-aquapolis,5.82,29.98,68.61,06/07/2024
Golduck [Reverse Holo] #50b,pokemon-aquapolis,7.75,36.00,237.18,06/07/2024
Magnemite #52,pokemon-aquapolis,4.25,21.00,143.54,06/07/2024
Pinsir #101,pokemon-aquapolis,2.18,24.50,56.40,06/07/2024
Lanturn #20,pokemon-aquapolis,6.31,58.44,70.00,06/07/2024
Dodrio #46,pokemon-aquapolis,6.41,15.49,199.08,06/07/2024
Aipom #67,pokemon-aquapolis,2.37,21.13,46.03,06/07/2024
Bellsprout [Reverse Holo] #68,pokemon-aquapolis,8.57,37.81,120.50,06/07/2024
Drowzee [Reverse Holo] #74,pokemon-aquapolis,10.68,N/A,N/A,06/07/2024
Horsea #85,pokemon-aquapolis,3.00,28.00,110.11,06/07/2024
Exeggutor [Reverse Holo] #12,pokemon-aquapolis,11.58,35.55,92.69,06/07/2024
Energy Switch #120,pokemon-aquapolis,5.82,19.73,190.33,06/07/2024
Lanturn [Reverse Holo] #20,pokemon-aquapolis,11.77,41.00,211.00,06/07/2024
Gloom [Reverse Holo] #49,pokemon-aquapolis,15.86,29.97,182.50,06/07/2024
Smoochum #61,pokemon-aquapolis,5.08,21.50,165.76,06/07/2024
Electrode [Reverse Holo] #8,pokemon-aquapolis,15.67,45.90,165.73,06/07/2024
Furret [Reverse Holo] #48,pokemon-aquapolis,21.46,57.74,604.30,06/07/2024
Gloom #49,pokemon-aquapolis,5.68,16.97,181.85,06/07/2024
Bellossom [Reverse Holo] #5,pokemon-aquapolis,9.45,28.23,155.50,06/07/2024
Wooper #66,pokemon-aquapolis,6.06,5.53,99.99,06/07/2024
Lickitung #90,pokemon-aquapolis,3.36,15.73,19.98,06/07/2024
Magnemite [Reverse Holo] #91,pokemon-aquapolis,7.75,27.71,150.00,06/07/2024
Darkness Energy [Reverse Holo] #142,pokemon-aquapolis,6.58,21.83,87.90,06/07/2024
Jynx [Reverse Holo] #18,pokemon-aquapolis,13.71,35.38,113.25,06/07/2024
Marowak [Reverse Holo] #54,pokemon-aquapolis,10.00,36.50,305.51,06/07/2024
Onix [Reverse Holo] #98,pokemon-aquapolis,11.25,47.31,115.00,06/07/2024
Phanpy #100,pokemon-aquapolis,3.89,43.49,48.17,06/07/2024
Sneasel [Reverse Holo] #110,pokemon-aquapolis,13.99,35.95,158.38,06/07/2024
Wooper [Reverse Holo] #117,pokemon-aquapolis,15.67,66.25,100.18,06/07/2024
Marill #53,pokemon-aquapolis,5.88,34.99,47.00,06/07/2024
Tyrogue [Reverse Holo] #63,pokemon-aquapolis,10.93,51.99,171.50,06/07/2024
Chinchou #70,pokemon-aquapolis,2.97,35.66,87.00,06/07/2024
Hitmontop [Reverse Holo] #82,pokemon-aquapolis,9.49,35.75,122.52,06/07/2024
Elekid [Reverse Holo] #9,pokemon-aquapolis,15.04,32.81,130.64,06/07/2024
Porygon2 [Reverse Holo] #28,pokemon-aquapolis,12.61,79.96,377.38,06/07/2024
Slowking [Reverse Holo] #34,pokemon-aquapolis,16.12,49.33,396.88,06/07/2024
Exeggcute #77,pokemon-aquapolis,1.99,22.23,24.50,06/07/2024
Hoppip #83,pokemon-aquapolis,2.00,16.89,34.65,06/07/2024
Kangaskhan [Reverse Holo] #88,pokemon-aquapolis,17.99,45.00,510.86,06/07/2024
Paras #99,pokemon-aquapolis,3.25,16.33,56.32,06/07/2024
Paras [Reverse Holo] #99,pokemon-aquapolis,7.00,42.00,90.00,06/07/2024
Darkness Cube 01 #119,pokemon-aquapolis,2.70,33.24,38.74,06/07/2024
Fire Cube 01 #122,pokemon-aquapolis,2.49,31.44,96.56,06/07/2024
Pokemon Park #131,pokemon-aquapolis,4.65,13.00,49.23,06/07/2024
Flaaffy [Reverse Holo] #47,pokemon-aquapolis,12.06,27.81,89.00,06/07/2024
Nidorino [Reverse Holo] #55,pokemon-aquapolis,6.32,39.27,204.26,06/07/2024
Bellsprout #68,pokemon-aquapolis,2.50,11.34,33.76,06/07/2024
Chansey [Reverse Holo] #69,pokemon-aquapolis,11.01,33.09,153.42,06/07/2024
Donphan #7,pokemon-aquapolis,11.49,20.50,34.60,06/07/2024
Remoraid #105,pokemon-aquapolis,2.45,6.50,41.00,06/07/2024
Victreebel [Reverse Holo] #42,pokemon-aquapolis,8.78,43.42,162.87,06/07/2024
Furret #48,pokemon-aquapolis,9.99,37.00,64.74,06/07/2024
Grimer [Reverse Holo] #79,pokemon-aquapolis,14.25,54.00,130.00,06/07/2024
Horsea [Reverse Holo] #84,pokemon-aquapolis,9.99,38.00,N/A,06/07/2024
Mankey #92,pokemon-aquapolis,3.57,21.14,56.09,06/07/2024
Vulpix [Reverse Holo] #116,pokemon-aquapolis,13.40,51.05,112.43,06/07/2024
Seadra [Reverse Holo] #58,pokemon-aquapolis,10.00,62.94,120.00,06/07/2024
Blister Pack,pokemon-aquapolis,024.00,N/A,N/A,06/07/2024
Phanpy [Reverse Holo] #100,pokemon-aquapolis,9.99,53.87,96.00,06/07/2024
Sentret [Reverse Holo] #107,pokemon-aquapolis,9.75,33.91,181.00,06/07/2024
Spinarak [Reverse Holo] #111,pokemon-aquapolis,7.21,27.39,222.75,06/07/2024
Tentacool [Reverse Holo] #113,pokemon-aquapolis,9.20,47.00,132.50,06/07/2024
Voltorb [Reverse Holo] #115,pokemon-aquapolis,9.84,32.67,100.96,06/07/2024
Apricorn Forest #118,pokemon-aquapolis,4.09,32.00,38.00,06/07/2024
Apricorn Forest [Reverse Holo] #118,pokemon-aquapolis,6.21,38.48,79.00,06/07/2024
Energy Switch [Reverse Holo] #120,pokemon-aquapolis,17.29,47.00,483.17,06/07/2024
Forest Guardian [Reverse Holo] #123,pokemon-aquapolis,7.53,27.77,171.50,06/07/2024
Pokemon Fan Club [Reverse Holo] #130,pokemon-aquapolis,16.27,25.27,137.44,06/07/2024
Pokemon Park [Reverse Holo] #131,pokemon-aquapolis,15.57,46.00,446.27,06/07/2024
Seer #133,pokemon-aquapolis,3.50,9.99,36.00,06/07/2024
Super Energy Removal 2 #134,pokemon-aquapolis,2.33,23.22,31.96,06/07/2024
Super Energy Removal 2 [Reverse Holo] #134,pokemon-aquapolis,4.13,16.00,140.43,06/07/2024
Time Shard #135,pokemon-aquapolis,1.49,13.62,13.77,06/07/2024
Time Shard [Reverse Holo] #135,pokemon-aquapolis,4.99,30.00,89.00,06/07/2024
Town Volunteers [Reverse Holo] #136,pokemon-aquapolis,7.62,35.00,90.00,06/07/2024
Traveling Salesman [Reverse Holo] #137,pokemon-aquapolis,7.75,45.00,238.03,06/07/2024
Undersea Ruins #138,pokemon-aquapolis,3.00,39.99,48.00,06/07/2024
Power Plant #139,pokemon-aquapolis,3.60,13.50,41.07,06/07/2024
Power Plant [Reverse Holo] #139,pokemon-aquapolis,5.50,33.25,176.95,06/07/2024
Water Cube 01 #140,pokemon-aquapolis,4.46,19.99,24.00,06/07/2024
Metal Energy [Reverse Holo] #143,pokemon-aquapolis,5.63,32.48,86.00,06/07/2024
Rainbow Energy [Reverse Holo] #144,pokemon-aquapolis,10.16,88.00,106.00,06/07/2024
Boost Energy [Reverse Holo] #145,pokemon-aquapolis,7.63,22.00,82.88,06/07/2024
Crystal Energy [Reverse Holo] #146,pokemon-aquapolis,9.94,35.00,173.58,06/07/2024
Warp Energy [Reverse Holo] #147,pokemon-aquapolis,8.94,27.12,79.52,06/07/2024
Jumpluff [Reverse Holo] #17,pokemon-aquapolis,9.54,35.00,130.25,06/07/2024
Lanturn [Reverse Holo] #21,pokemon-aquapolis,14.07,37.70,406.41,06/07/2024
Octillery [Reverse Holo] #26,pokemon-aquapolis,7.35,28.25,91.00,06/07/2024
Parasect [Reverse Holo] #27,pokemon-aquapolis,11.29,36.42,85.00,06/07/2024
Ariados [Reverse Holo] #3,pokemon-aquapolis,5.40,28.75,112.50,06/07/2024
Quagsire [Reverse Holo] #30,pokemon-aquapolis,18.84,90.00,199.99,06/07/2024
Bellsprout [Reverse Holo] #45,pokemon-aquapolis,13.55,30.53,98.00,06/07/2024
Entei [Box Topper] #5,pokemon-aquapolis,79.97,245.85,N/A,06/07/2024
Golduck [Reverse Holo] #50a,pokemon-aquapolis,13.20,31.11,171.50,06/07/2024
Growlithe [Reverse Holo] #51,pokemon-aquapolis,21.10,65.50,690.57,06/07/2024
Magnemite [Reverse Holo] #52,pokemon-aquapolis,10.84,32.00,103.01,06/07/2024
Marill [Reverse Holo] #53,pokemon-aquapolis,12.68,49.99,369.03,06/07/2024
Pupitar #56,pokemon-aquapolis,3.50,18.84,27.76,06/07/2024
Pupitar [Reverse Holo] #56,pokemon-aquapolis,10.49,37.50,310.50,06/07/2024
Seaking #59,pokemon-aquapolis,3.41,18.00,117.15,06/07/2024
Seaking [Reverse Holo] #59,pokemon-aquapolis,9.99,43.00,140.50,06/07/2024
Espeon [Box Topper] #6,pokemon-aquapolis,113.94,342.00,985.00,06/07/2024
Skiploom #60,pokemon-aquapolis,7.00,21.50,217.63,06/07/2024
Smoochum [Reverse Holo] #61,pokemon-aquapolis,8.73,44.70,92.84,06/07/2024
Spinarak [Reverse Holo] #62,pokemon-aquapolis,6.35,31.51,110.15,06/07/2024
Weepinbell [Reverse Holo] #65,pokemon-aquapolis,7.99,50.52,127.50,06/07/2024
Wooper [Reverse Holo] #66,pokemon-aquapolis,20.00,44.00,170.00,06/07/2024
Scizor [Box Topper] #7,pokemon-aquapolis,65.00,202.00,825.00,06/07/2024
Chinchou [Reverse Holo] #70,pokemon-aquapolis,11.86,39.99,346.73,06/07/2024
Chinchou [Reverse Holo] #71,pokemon-aquapolis,7.63,27.71,N/A,06/07/2024
Doduo [Reverse Holo] #73,pokemon-aquapolis,8.35,33.00,100.00,06/07/2024
Exeggcute [Reverse Holo] #77,pokemon-aquapolis,10.00,40.74,194.50,06/07/2024
Suicune [Box Topper] #8,pokemon-aquapolis,85.00,241.80,N/A,06/07/2024
Horsea [Reverse Holo] #85,pokemon-aquapolis,10.89,38.48,100.99,06/07/2024
Houndour [Reverse Holo] #87,pokemon-aquapolis,11.51,35.42,164.65,06/07/2024
